,MSE,RMSE,MAE,R2,MAPE
Linear Regression Baseline,0.0252470155590911,0.1588930947495553,0.0214494537362942,0.9997509820892838,0.0
LSTM,38.46384304894754,6.201922528454184,4.801538485133764,0.620626583845504,inf
Seasonal Naive Model,101.56676471410366,10.0780337722248,8.005537609970403,-0.0017795365994401,0.0
Persistence Model,332.7503702467694,18.241446495461084,15.834178764113688,-2.282003839025628,0.0
