Model,MSE,RMSE,MAE,R2
Persistence Model,332.7503702467694,18.241446495461084,15.834178764113688,-2.2820038390256276
Seasonal Naive Model,101.56676471410366,10.078033772224801,8.005537609970403,-0.0017795365994401902
Linear Regression Baseline,0.02524701555909116,0.15889309474955532,0.02144945373629425,0.9997509820892838
